Recrutement et Intelligence Artificielle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détails de la soumission;;;;;;;;;Est-ce que vous utilisez ou avez-l'intention d'utiliser les IA génératives comme ChatGPT pour ...;;;;;Que pensez-vous de la facilité d'usage des IA ?;;;;Quelle crédibilité accordez-vous au recruteur quand il vous explique utiliser l'IA pour le recrutement...;;;;Dans quelle mesure acceptez-vous que votre recruteur utilise l'IA lors de ces différentes phases du recrutement;;;;;;Lors d'un éventuel recrutement où l'IA serait utilisée, quelle importance accordez-vous à ces sujets liés à son usage éthique ?;;;;;;;
Séquentiel;SID;Heure de soumission;Heure de complétion;Heure de modification;Brouillon;Adresse IP;UID;Nom d'utilisateur;Rédiger des CV ou des lettres de motivation;Améliorer votre profil LinkedIn;Préparer des entretiens d'embauche;Vous renseigner sur votre futur employeur;Répondre plus rapidement à une offre;ChatGPT et autres IA génératives (génération de texte ou d'images);Moteur de recherche (Chrome, Safari, Firefox);Application de navigation disponibles sur votre mobile ou dans votre voiture;Autres usages professionnels ou scientifiques;Pour sélectionner les meilleur•e•s candidat•e•s;Pour réduire le risque de discrimination;Pour un recrutement plus éthique;Pour diversifier les recrutements;Lors du tri initial des candidatures;Lors des tests de sélection;Lors des entretiens individuels;Lors de la discussion sur le périmètre de votre poste;Lors de la négociation sur votre rémunération et autres avantages;Lors de la rédaction de votre contrat de travail;Le respect de votre vie privée;L'empreinte carbone de l'IA utilisée;L'absence de toute discrimination;L'équité entre tous les candidats;Le respect de la diversité;Aimeriez-vous savoir si votre recruteur a prévu d'utiliser l'IA dans le processus de recrutement ?;Quelle est votre tranche d'âge?;Donnez votre avis sur une entreprise qui souhaiterait confier ses recrutements à une IA : 
110;25362226;15/01/2025 - 14:59;15/01/2025 - 14:59;15/01/2025 - 14:59;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Assez favorable;Ni favorable, ni opposé;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Très faible;Très faible;Faible;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;Favorable;Favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est important;25-34 ans;De faire très attention aux différents biais cognitifs, culturels et et inhérents aux concepteurs et de prendre les réponses apportées avec un regard critique et bienveillant. 
111;25363188;15/01/2025 - 15:30;15/01/2025 - 15:30;15/01/2025 - 15:30;0;0.0.0.0;0;Anonymous;Plutôt opposé;Assez favorable;Assez favorable;Assez favorable;Totalement opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Très faible;Très faible;Très faible;Favorable;Favorable;Réticent;Très réticent;Très réticent;Très réticent;C'est plutôt important;C'est très secondaire;C'est très important;C'est très important;C'est très important;Cela dépend;45-54 ans;"(je n'utilise pa chatGPT, etc. Donc je n'ai pas voulu répondre à la question : Que pensez-vous de la facilité d'usage des IA ? Mes réponses sont fausses)
Une entreprise peut utiliser pour accélerer le triage intial des candidats. C'est pertinent"
112;25363412;15/01/2025 - 15:37;15/01/2025 - 15:37;15/01/2025 - 15:37;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;Plutôt à l'aise;à l'aise;à l'aise;Elevé;Très élevé;Très élevé;Très élevé;Favorable;Favorable;Réticent;Réticent;Très réticent;Réticent;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est très important;C'est très important;C'est essentiel;25-34 ans;
113;25363611;15/01/2025 - 15:43;15/01/2025 - 15:43;15/01/2025 - 15:43;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est très important;C'est important ou secondaire;C'est plutôt secondaire;Cela dépend;18-24 ans;
114;25365870;15/01/2025 - 17:02;15/01/2025 - 17:02;15/01/2025 - 17:02;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Plutôt opposé;Tout à fait favorable;Tout à fait favorable;Assez favorable;à l'aise;à l'aise;Ni aisance, ni difficultés;Plutôt à l'aise;Ni faible, ni élevé;Faible;Faible;Ni faible, ni élevé;Favorable;Favorable;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Très favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;55-64 ans;"Gagner du temps avec l’IA, c’est pertinent
Mais à deux conditions : le préciser très clairement en amont et garder un temps d’interaction humaine dans le processus"
115;25366054;15/01/2025 - 17:09;15/01/2025 - 17:09;15/01/2025 - 17:09;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;55-64 ans;Boen sie performante dans certains aspects, la relation humaine doit primer. Le recrutement doit être effectué sur des compétences et des aptitudes pour effectuer le travail pour lequel le recrutement est fait. Mais aussi sur les  capacites d'echange de cette personne lors de l'entretien. Le recruteur doit pouvoir se faire une idee assez precise du candidat par rapport aux compétences et aptitudes recherchées.  Cette application peut effectivement aide pour certaines tâches mais elle ne doit pas deshumanise l'homme qui a besoin de contacts physiques et directs. C'est in animal mais ol est dote de la parole donc il doit pouvoir s'exprimer. Cela vaut tant pour le recruteur que pour le candidat au poste. Il ne faut pas ajouter du stress au stress de la situation de recrutement. 
116;25368223;15/01/2025 - 18:48;15/01/2025 - 18:48;15/01/2025 - 18:48;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Elevé;Elevé;Elevé;Ni faible, ni élevé;Très favorable;Favorable;Favorable;Favorable;Très favorable;Favorable;C'est très important;C'est très important;C'est très important;C'est plutôt important;C'est plutôt important;C'est secondaire;25-34 ans;
117;25368971;15/01/2025 - 19:35;15/01/2025 - 19:35;15/01/2025 - 19:35;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Quelques difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Elevé;Elevé;Ni faible, ni élevé;Réticent;Ni réticent, ni favorable;Réticent;Réticent;Ni réticent, ni favorable;Favorable;C'est très important;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;45-54 ans;
118;25370686;15/01/2025 - 21:31;15/01/2025 - 21:31;15/01/2025 - 21:31;0;0.0.0.0;0;Anonymous;Plutôt opposé;Totalement opposé;Totalement opposé;Assez favorable;Plutôt opposé;Quelques difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Très réticent;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est très secondaire;C'est important;55-64 ans;"L IA, actuellement, régurgite ce par quoi elle est gavée.
Il y a donc forcément un risque de partialité."
119;25372543;16/01/2025 - 07:27;16/01/2025 - 07:27;16/01/2025 - 07:27;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Elevé;Elevé;Elevé;Ni réticent, ni favorable;Favorable;Réticent;Réticent;Très réticent;Réticent;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est très important;C'est plutôt important;C'est essentiel;35-44 ans;
120;25372664;16/01/2025 - 07:46;16/01/2025 - 07:46;16/01/2025 - 07:46;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Faible;Faible;Ni faible, ni élevé;Favorable;Réticent;Très réticent;Très réticent;Très réticent;Très favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est très important;C'est plutôt important;C'est secondaire;55-64 ans;"OUI pour une IA en appui des professionnels du recrutement mais NON en substitution. 
"
121;25389712;16/01/2025 - 17:51;16/01/2025 - 17:51;16/01/2025 - 17:51;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Assez favorable;Tout à fait favorable;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Elevé;Elevé;Ni faible, ni élevé;Favorable;Très favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Très favorable;Très favorable;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est plutôt important;C'est important;35-44 ans;
122;25393844;16/01/2025 - 21:52;16/01/2025 - 21:52;16/01/2025 - 21:52;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Plutôt opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Très réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est plutôt important;C'est très secondaire;C'est plutôt secondaire;C'est important ou secondaire;C'est très secondaire;Cela dépend;55-64 ans;Changer son DRH car vraiment incompétent.
123;25394028;16/01/2025 - 22:08;16/01/2025 - 22:08;16/01/2025 - 22:08;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Faible;Ni faible, ni élevé;Faible;Très réticent;Réticent;Réticent;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est plutôt important;C'est important;35-44 ans;
124;25394594;16/01/2025 - 23:15;16/01/2025 - 23:15;16/01/2025 - 23:15;0;0.0.0.0;0;Anonymous;Assez favorable;Plutôt opposé;Plutôt opposé;Assez favorable;Assez favorable;Plutôt à l'aise;à l'aise;Ni aisance, ni difficultés;Quelques difficultés;Très faible;Ni faible, ni élevé;Très faible;Très faible;Favorable;Favorable;Très réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est très important;C'est très secondaire;C'est plutôt secondaire;C'est plutôt important;C'est important ou secondaire;C'est important;35-44 ans;
125;25396231;17/01/2025 - 08:55;17/01/2025 - 08:55;17/01/2025 - 08:55;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est très important;C'est essentiel;45-54 ans;"Pour moi, c'est ""no way""."
126;25396463;17/01/2025 - 09:06;17/01/2025 - 09:06;17/01/2025 - 09:06;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Ni réticent, ni favorable;Réticent;Favorable;Ni réticent, ni favorable;Favorable;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important ou secondaire;C'est important;45-54 ans;
127;25402460;17/01/2025 - 12:10;17/01/2025 - 12:10;17/01/2025 - 12:10;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Réticent;Favorable;Favorable;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est plutôt important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;45-54 ans;
128;25403437;17/01/2025 - 12:50;17/01/2025 - 12:50;17/01/2025 - 12:50;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Tout à fait favorable;à l'aise;à l'aise;Ni aisance, ni difficultés;à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est très important;C'est plutôt important;C'est essentiel;45-54 ans;"L entreprise devrait annoncer qu elle utilise l IA, et également communiquer les mots clés utilisés par l IA pour faire le tri des CVS. ( Afin que les personnes dont l expérience correspond aux mots clés pensent à les mettre dans le CV). Également il faudrait que l ia utilisée par l  entreprise soit irréprochable sur le plan RGPD. 
Enfin, il faudrait que l entreprise prenne le temps de paramétrer finement son IA, pour éviter les biais ( travailler avec un spécialiste en Sciences Sociales, par exemple)"
129;25412256;17/01/2025 - 18:13;17/01/2025 - 18:13;17/01/2025 - 18:13;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Plutôt opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Très faible;Elevé;Ni réticent, ni favorable;Réticent;Réticent;Ni réticent, ni favorable;Très réticent;Ni réticent, ni favorable;C'est très important;C'est très secondaire;C'est important ou secondaire;C'est très important;C'est très secondaire;C'est essentiel;55-64 ans;Favorable si l'IA est pensée uniquement comme aide à la décision. 
130;25412380;17/01/2025 - 18:20;17/01/2025 - 18:20;17/01/2025 - 18:20;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Très faible;Faible;Faible;Réticent;Favorable;Très réticent;Très réticent;Réticent;Ni réticent, ni favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;55-64 ans;L’IA n’est qu’un assistant, elle peut remplacer plutôt des tâches répétitives selon moi. Mais pour la phase d’entretien individuel, comme pour la décision finale, rien ne peut remplacer l’humain, aussi bien pour le candidat que pour le recruteur 😉
131;25413642;17/01/2025 - 19:39;17/01/2025 - 19:39;17/01/2025 - 19:39;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Ni favorable, ni opposé;à l'aise;à l'aise;à l'aise;à l'aise;Elevé;Elevé;Elevé;Elevé;Favorable;Favorable;Favorable;Favorable;Favorable;Favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est très important;C'est plutôt important;Cela dépend;55-64 ans;
132;25415709;18/01/2025 - 00:46;18/01/2025 - 00:46;18/01/2025 - 00:46;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est très important;C'est important;55-64 ans;Ne le font elles déjà pas presque toutes au moins pour le tri des très nombreux cv reçu pour chaque annonce passée ? Même si je suis plutôt contre c’est inutile il vaut mieux s’y habituer et l’anticiper lorsqu’on postule. 
133;25416020;18/01/2025 - 07:52;18/01/2025 - 07:52;18/01/2025 - 07:52;0;0.0.0.0;0;Anonymous;Assez favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Ni réticent, ni favorable;Réticent;Réticent;Très réticent;Favorable;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est plutôt important;C'est essentiel;45-54 ans;
134;25416086;18/01/2025 - 08:12;18/01/2025 - 08:12;18/01/2025 - 08:12;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Ni favorable, ni opposé;Tout à fait favorable;à l'aise;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Elevé;Favorable;Ni réticent, ni favorable;Réticent;Favorable;Favorable;Favorable;C'est plutôt important;C'est plutôt secondaire;C'est plutôt secondaire;C'est plutôt important;C'est plutôt secondaire;C'est secondaire;55-64 ans;
135;25417473;18/01/2025 - 11:00;18/01/2025 - 11:00;18/01/2025 - 11:00;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;à l'aise;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Elevé;Faible;Faible;Faible;Favorable;Favorable;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est très important;C'est plutôt important;C'est très important;C'est essentiel;45-54 ans;
136;25418074;18/01/2025 - 11:52;18/01/2025 - 11:52;18/01/2025 - 11:52;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Elevé;Favorable;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est important ou secondaire;C'est secondaire;45-54 ans;
137;25418803;18/01/2025 - 13:12;18/01/2025 - 13:12;18/01/2025 - 13:12;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Ni aisance, ni difficultés;à l'aise;à l'aise;Ni aisance, ni difficultés;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Favorable;Réticent;Réticent;Réticent;Réticent;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est important ou secondaire;C'est sans intérêt;45-54 ans;
138;25420827;18/01/2025 - 17:16;18/01/2025 - 17:16;18/01/2025 - 17:16;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est plutôt important;C'est très important;C'est très secondaire;C'est important;55-64 ans;"Je ne postulerais pas pour un emploi dans cette entreprise.
J'aurais l'impression d'être recruté par une machine et d'en devenir une moi-même. 
Dans Rh, le terme important est ""humaines"" !"
139;25422082;18/01/2025 - 20:05;18/01/2025 - 20:05;18/01/2025 - 20:05;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Plutôt opposé;Tout à fait favorable;Tout à fait favorable;Ni favorable, ni opposé;Plutôt à l'aise;Ni aisance, ni difficultés;En difficulté;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Elevé;Favorable;Réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est plutôt important;C'est plutôt important;C'est très important;C'est plutôt important;C'est important;55-64 ans;
140;25423330;19/01/2025 - 08:23;19/01/2025 - 08:23;19/01/2025 - 08:23;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Très faible;Très faible;Favorable;Favorable;Réticent;Réticent;Réticent;Favorable;C'est plutôt important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;35-44 ans;
141;25423363;19/01/2025 - 08:41;19/01/2025 - 08:41;19/01/2025 - 08:41;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Quelques difficultés;Ni faible, ni élevé;Faible;Très faible;Faible;Réticent;Réticent;Réticent;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est plutôt important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt secondaire;C'est essentiel;45-54 ans;
142;25424293;19/01/2025 - 11:17;19/01/2025 - 11:17;19/01/2025 - 11:17;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Plutôt opposé;Tout à fait favorable;Plutôt à l'aise;Plutôt à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Très faible;Très faible;Ni faible, ni élevé;Réticent;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;C'est plutôt important;C'est important ou secondaire;C'est très secondaire;C'est très secondaire;C'est plutôt secondaire;Cela dépend;25-34 ans;"Presque systématiquement quand je donne une réserve sur l'utilisation de l'IA, c'est très souvent lié à la pertinence de ses résultats. J'utilise à ce jour l'IA dans mon travail de développeur et bien qu'elle m'aide régulièrement je suis systématiquement obligé de reprendre et d'affiner ce qu'elle peut me donner.
Ensuite, dans le cas d'un recrutement, il y a beaucoup de signaux de type faible qui vont nous permettre de déterminer si le candidat pourrait bien s'adapter à l'entreprise dans laquelle il postule exemple le soin apporté au CV l'architecture de la lettre de motivation qui montre une certaine méthodologie..."
143;25495245;22/01/2025 - 22:23;22/01/2025 - 22:23;22/01/2025 - 22:23;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Faible;Faible;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Favorable;Favorable;Très favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;45-54 ans;
144;25506494;23/01/2025 - 14:43;23/01/2025 - 14:43;23/01/2025 - 14:43;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Elevé;Elevé;Elevé;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Très réticent;Très réticent;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;18-24 ans;
145;25534727;24/01/2025 - 18:43;24/01/2025 - 18:43;24/01/2025 - 18:43;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Tout à fait favorable;Plutôt opposé;Ni favorable, ni opposé;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Très élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Favorable;Réticent;Ni réticent, ni favorable;Favorable;Très favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est très important;C'est important;18-24 ans;
146;25586577;28/01/2025 - 13:11;28/01/2025 - 13:11;28/01/2025 - 13:11;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Tout à fait favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Plutôt à l'aise;Ni aisance, ni difficultés;Plutôt à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Réticent;Réticent;Réticent;Réticent;C'est plutôt important;C'est important ou secondaire;C'est important ou secondaire;C'est très important;C'est important ou secondaire;C'est important;18-24 ans;L'humain doit rester présent durant le processus de recrutement et ne pas laisser  plus de 80% la gestion de ce processus a l'IA.
147;25658943;31/01/2025 - 19:28;31/01/2025 - 19:28;31/01/2025 - 19:28;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Assez favorable;Tout à fait favorable;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Ni faible, ni élevé;Faible;Réticent;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est très important;C'est important;45-54 ans;
148;25666213;01/02/2025 - 15:39;01/02/2025 - 15:39;01/02/2025 - 15:39;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Faible;Elevé;Ni faible, ni élevé;Favorable;Favorable;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est important;18-24 ans;
149;25699344;03/02/2025 - 20:46;03/02/2025 - 20:46;03/02/2025 - 20:46;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Assez favorable;Assez favorable;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Elevé;Elevé;Ni faible, ni élevé;Favorable;Réticent;Réticent;Favorable;Réticent;Favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est très important;C'est très important;C'est essentiel;35-44 ans;"Je dirais que la faille est humaine : les erreurs de recrutement permettent au recruteur d’exceller dans son travail puisque l’apprentissage par l’échec est essentiel. De plus, humainement, la surprise de découvrir des profils différents au-delà des candidats attendus ou conformistes permet d’élargir le champ des possibles et même de faire évoluer l’entreprise.

Je me pose aussi la question des profils atypiques. Si le paramétrage de l’intelligence artificielle est effectué par des humains alors les biais restent humains.  le modèle devient limité, car il risque de se contenter de reproduire un schéma figé en recherchant des candidats qui ressemblent à ceux déjà sélectionnés, favorisant ainsi une forme de clonage des profils.

Toutefois, l’IA est un outil intéressant en matière de lutte contre la discrimination puisqu’elle est neutre par essence. Un autre point mérite d’être soulevé : le biais de halo ou plus vulgairement le pretty privilege, peut entraîner le recruteur dans l’erreur. Ce biais qui accorde une forme d'intelligence et de compétences aux beaux.  L’IA, quant à elle, ne jugera pas un candidat sur son apparence physique mais uniquement sur ses compétences.

Encore une fois, tout dépendra du paramétrage initial défini par l’humain. L’IA ne fait qu’exécuter ce qu’on lui enseigne : si les biais existent en amont, ils seront inévitablement reproduits dans le processus de recrutement."
